symbol,timestamp,datetime,date,hour,open,high,low,close,volume
ETHUSDC,1737072900000,2025-01-17 02:15:00,2025-01-17,2,3310.58000000,3317.79000000,3307.71000000,3314.50000000,310.97800000
ETHUSDC,1737073800000,2025-01-17 02:30:00,2025-01-17,2,3314.22000000,3317.57000000,3309.34000000,3314.40000000,234.85200000
ETHUSDC,1737074700000,2025-01-17 02:45:00,2025-01-17,2,3314.49000000,3315.58000000,3307.32000000,3313.40000000,149.84970000
ETHUSDC,1737075600000,2025-01-17 03:00:00,2025-01-17,3,3313.70000000,3326.13000000,3313.70000000,3322.16000000,502.52120000
ETHUSDC,1737076500000,2025-01-17 03:15:00,2025-01-17,3,3321.97000000,3341.06000000,3321.41000000,3340.50000000,645.94250000
ETHUSDC,1737077400000,2025-01-17 03:30:00,2025-01-17,3,3340.54000000,3382.47000000,3339.60000000,3375.69000000,2039.50850000
ETHUSDC,1737078300000,2025-01-17 03:45:00,2025-01-17,3,3376.71000000,3390.83000000,3365.87000000,3385.60000000,1581.93620000
ETHUSDC,1737079200000,2025-01-17 04:00:00,2025-01-17,4,3385.14000000,3389.43000000,3379.05000000,3384.59000000,793.27200000
ETHUSDC,1737080100000,2025-01-17 04:15:00,2025-01-17,4,3383.71000000,3396.63000000,3380.91000000,3389.64000000,827.19260000
ETHUSDC,1737081000000,2025-01-17 04:30:00,2025-01-17,4,3389.65000000,3391.17000000,3371.39000000,3374.75000000,1040.82140000
ETHUSDC,1737081900000,2025-01-17 04:45:00,2025-01-17,4,3374.75000000,3374.75000000,3354.30000000,3372.30000000,997.30710000
ETHUSDC,1737082800000,2025-01-17 05:00:00,2025-01-17,5,3372.38000000,3376.89000000,3366.86000000,3369.23000000,342.38780000
ETHUSDC,1737083700000,2025-01-17 05:15:00,2025-01-17,5,3369.04000000,3372.77000000,3362.85000000,3364.62000000,285.06380000
ETHUSDC,1737084600000,2025-01-17 05:30:00,2025-01-17,5,3364.99000000,3373.61000000,3364.99000000,3369.80000000,228.82070000
ETHUSDC,1737085500000,2025-01-17 05:45:00,2025-01-17,5,3369.01000000,3372.12000000,3357.62000000,3360.27000000,419.57750000
ETHUSDC,1737086400000,2025-01-17 06:00:00,2025-01-17,6,3360.21000000,3364.00000000,3348.08000000,3348.57000000,351.98070000
ETHUSDC,1737087300000,2025-01-17 06:15:00,2025-01-17,6,3348.39000000,3357.61000000,3347.00000000,3356.49000000,375.35460000
ETHUSDC,1737088200000,2025-01-17 06:30:00,2025-01-17,6,3356.41000000,3365.39000000,3354.27000000,3364.02000000,329.84620000
ETHUSDC,1737089100000,2025-01-17 06:45:00,2025-01-17,6,3364.02000000,3371.69000000,3363.30000000,3370.31000000,230.87710000
ETHUSDC,1737090000000,2025-01-17 07:00:00,2025-01-17,7,3370.22000000,3375.26000000,3365.42000000,3371.60000000,478.11550000
ETHUSDC,1737090900000,2025-01-17 07:15:00,2025-01-17,7,3371.87000000,3375.45000000,3364.48000000,3366.02000000,469.16300000
ETHUSDC,1737091800000,2025-01-17 07:30:00,2025-01-17,7,3366.10000000,3367.99000000,3358.82000000,3360.59000000,399.76750000
ETHUSDC,1737092700000,2025-01-17 07:45:00,2025-01-17,7,3361.09000000,3368.74000000,3359.72000000,3366.18000000,300.92790000
ETHUSDC,1737093600000,2025-01-17 08:00:00,2025-01-17,8,3366.15000000,3375.00000000,3363.97000000,3373.39000000,267.92970000
ETHUSDC,1737094500000,2025-01-17 08:15:00,2025-01-17,8,3373.39000000,3375.15000000,3369.71000000,3371.52000000,264.10620000
ETHUSDC,1737095400000,2025-01-17 08:30:00,2025-01-17,8,3371.66000000,3375.38000000,3369.30000000,3374.02000000,349.49650000
ETHUSDC,1737096300000,2025-01-17 08:45:00,2025-01-17,8,3373.70000000,3373.70000000,3364.81000000,3367.24000000,263.23960000
ETHUSDC,1737097200000,2025-01-17 09:00:00,2025-01-17,9,3367.30000000,3370.86000000,3362.50000000,3370.32000000,296.97350000
ETHUSDC,1737098100000,2025-01-17 09:15:00,2025-01-17,9,3370.48000000,3372.27000000,3366.05000000,3368.38000000,277.49220000
ETHUSDC,1737099000000,2025-01-17 09:30:00,2025-01-17,9,3368.21000000,3389.77000000,3364.41000000,3380.00000000,491.47620000
ETHUSDC,1737099900000,2025-01-17 09:45:00,2025-01-17,9,3379.92000000,3382.19000000,3369.71000000,3373.11000000,321.20040000
ETHUSDC,1737100800000,2025-01-17 10:00:00,2025-01-17,10,3372.64000000,3380.88000000,3372.20000000,3379.09000000,436.42110000
ETHUSDC,1737101700000,2025-01-17 10:15:00,2025-01-17,10,3379.09000000,3386.09000000,3373.66000000,3380.32000000,646.66980000
ETHUSDC,1737102600000,2025-01-17 10:30:00,2025-01-17,10,3379.98000000,3401.19000000,3379.98000000,3393.51000000,1361.66780000
ETHUSDC,1737103500000,2025-01-17 10:45:00,2025-01-17,10,3393.31000000,3412.99000000,3385.02000000,3406.51000000,1233.39970000
ETHUSDC,1737104400000,2025-01-17 11:00:00,2025-01-17,11,3406.51000000,3414.44000000,3400.20000000,3411.47000000,1022.93670000
ETHUSDC,1737105300000,2025-01-17 11:15:00,2025-01-17,11,3411.47000000,3411.99000000,3400.51000000,3408.51000000,876.69520000
ETHUSDC,1737106200000,2025-01-17 11:30:00,2025-01-17,11,3408.27000000,3412.58000000,3402.05000000,3402.22000000,662.63460000
ETHUSDC,1737107100000,2025-01-17 11:45:00,2025-01-17,11,3402.21000000,3408.78000000,3402.21000000,3403.32000000,720.77130000
ETHUSDC,1737108000000,2025-01-17 12:00:00,2025-01-17,12,3403.30000000,3438.32000000,3402.44000000,3434.51000000,1241.84190000
ETHUSDC,1737108900000,2025-01-17 12:15:00,2025-01-17,12,3434.52000000,3437.71000000,3417.35000000,3420.81000000,809.24170000
ETHUSDC,1737109800000,2025-01-17 12:30:00,2025-01-17,12,3420.61000000,3425.67000000,3415.66000000,3419.03000000,626.97300000
ETHUSDC,1737110700000,2025-01-17 12:45:00,2025-01-17,12,3418.92000000,3427.08000000,3416.32000000,3427.08000000,309.21750000
ETHUSDC,1737111600000,2025-01-17 13:00:00,2025-01-17,13,3427.30000000,3428.17000000,3416.30000000,3418.57000000,383.08570000
ETHUSDC,1737112500000,2025-01-17 13:15:00,2025-01-17,13,3418.59000000,3429.79000000,3417.42000000,3424.68000000,529.01340000
ETHUSDC,1737113400000,2025-01-17 13:30:00,2025-01-17,13,3424.59000000,3429.94000000,3423.41000000,3426.89000000,477.25190000
ETHUSDC,1737114300000,2025-01-17 13:45:00,2025-01-17,13,3427.18000000,3427.75000000,3419.24000000,3423.11000000,318.14120000
ETHUSDC,1737115200000,2025-01-17 14:00:00,2025-01-17,14,3422.71000000,3425.99000000,3417.91000000,3422.29000000,486.79250000
ETHUSDC,1737116100000,2025-01-17 14:15:00,2025-01-17,14,3423.22000000,3425.16000000,3409.14000000,3411.44000000,540.78400000
ETHUSDC,1737117000000,2025-01-17 14:30:00,2025-01-17,14,3411.31000000,3412.71000000,3399.61000000,3412.08000000,907.43690000
ETHUSDC,1737117900000,2025-01-17 14:45:00,2025-01-17,14,3411.61000000,3418.40000000,3404.41000000,3407.17000000,584.57210000
ETHUSDC,1737118800000,2025-01-17 15:00:00,2025-01-17,15,3407.49000000,3418.37000000,3407.49000000,3415.50000000,416.26930000
ETHUSDC,1737119700000,2025-01-17 15:15:00,2025-01-17,15,3415.17000000,3423.70000000,3410.07000000,3418.23000000,457.31880000
ETHUSDC,1737120600000,2025-01-17 15:30:00,2025-01-17,15,3418.30000000,3421.90000000,3395.00000000,3412.05000000,1107.20100000
ETHUSDC,1737121500000,2025-01-17 15:45:00,2025-01-17,15,3411.80000000,3415.90000000,3400.36000000,3401.49000000,817.80830000
ETHUSDC,1737122400000,2025-01-17 16:00:00,2025-01-17,16,3401.62000000,3415.15000000,3401.62000000,3410.32000000,900.30610000
ETHUSDC,1737123300000,2025-01-17 16:15:00,2025-01-17,16,3410.31000000,3427.59000000,3409.71000000,3424.31000000,1163.07320000
ETHUSDC,1737124200000,2025-01-17 16:30:00,2025-01-17,16,3424.17000000,3433.57000000,3402.29000000,3406.71000000,3265.90800000
ETHUSDC,1737125100000,2025-01-17 16:45:00,2025-01-17,16,3406.80000000,3433.17000000,3403.65000000,3429.29000000,1693.38830000
ETHUSDC,1737126000000,2025-01-17 17:00:00,2025-01-17,17,3429.28000000,3449.87000000,3425.89000000,3449.83000000,2323.00860000
ETHUSDC,1737126900000,2025-01-17 17:15:00,2025-01-17,17,3449.51000000,3451.24000000,3404.42000000,3417.88000000,2606.05400000
ETHUSDC,1737127800000,2025-01-17 17:30:00,2025-01-17,17,3417.81000000,3427.73000000,3410.00000000,3421.02000000,1175.22020000
ETHUSDC,1737128700000,2025-01-17 17:45:00,2025-01-17,17,3421.19000000,3422.98000000,3410.00000000,3422.58000000,719.17410000
ETHUSDC,1737129600000,2025-01-17 18:00:00,2025-01-17,18,3422.60000000,3432.55000000,3412.82000000,3432.35000000,1000.90650000
ETHUSDC,1737130500000,2025-01-17 18:15:00,2025-01-17,18,3432.56000000,3449.38000000,3430.12000000,3441.71000000,1407.43820000
ETHUSDC,1737131400000,2025-01-17 18:30:00,2025-01-17,18,3441.70000000,3447.40000000,3437.82000000,3443.32000000,787.62540000
ETHUSDC,1737132300000,2025-01-17 18:45:00,2025-01-17,18,3443.31000000,3445.85000000,3434.72000000,3439.39000000,1140.79930000
ETHUSDC,1737133200000,2025-01-17 19:00:00,2025-01-17,19,3439.21000000,3439.21000000,3428.13000000,3431.32000000,988.77890000
ETHUSDC,1737134100000,2025-01-17 19:15:00,2025-01-17,19,3431.24000000,3444.30000000,3425.08000000,3440.63000000,882.57230000
ETHUSDC,1737135000000,2025-01-17 19:30:00,2025-01-17,19,3440.37000000,3441.93000000,3409.19000000,3415.69000000,1054.35670000
ETHUSDC,1737135900000,2025-01-17 19:45:00,2025-01-17,19,3415.80000000,3423.52000000,3410.35000000,3415.67000000,999.26330000
ETHUSDC,1737136800000,2025-01-17 20:00:00,2025-01-17,20,3415.74000000,3420.78000000,3411.82000000,3418.89000000,539.06620000
ETHUSDC,1737137700000,2025-01-17 20:15:00,2025-01-17,20,3418.90000000,3431.40000000,3416.86000000,3422.76000000,664.80970000
ETHUSDC,1737138600000,2025-01-17 20:30:00,2025-01-17,20,3422.76000000,3428.39000000,3417.65000000,3421.20000000,617.86860000
ETHUSDC,1737139500000,2025-01-17 20:45:00,2025-01-17,20,3421.47000000,3424.80000000,3412.34000000,3413.51000000,678.94250000
ETHUSDC,1737140400000,2025-01-17 21:00:00,2025-01-17,21,3413.50000000,3429.72000000,3412.56000000,3429.72000000,686.23350000
ETHUSDC,1737141300000,2025-01-17 21:15:00,2025-01-17,21,3429.89000000,3445.99000000,3427.49000000,3432.70000000,1001.31050000
ETHUSDC,1737142200000,2025-01-17 21:30:00,2025-01-17,21,3432.70000000,3432.70000000,3419.47000000,3428.99000000,1244.42850000
ETHUSDC,1737143100000,2025-01-17 21:45:00,2025-01-17,21,3429.00000000,3436.92000000,3426.26000000,3435.54000000,548.78240000
ETHUSDC,1737144000000,2025-01-17 22:00:00,2025-01-17,22,3435.32000000,3456.46000000,3428.42000000,3447.21000000,1502.86940000
ETHUSDC,1737144900000,2025-01-17 22:15:00,2025-01-17,22,3447.99000000,3495.21000000,3445.38000000,3492.75000000,2670.67000000
ETHUSDC,1737145800000,2025-01-17 22:30:00,2025-01-17,22,3492.75000000,3517.01000000,3492.61000000,3512.79000000,2735.16480000
ETHUSDC,1737146700000,2025-01-17 22:45:00,2025-01-17,22,3513.60000000,3526.92000000,3502.91000000,3516.20000000,2228.25720000
ETHUSDC,1737147600000,2025-01-17 23:00:00,2025-01-17,23,3515.84000000,3527.00000000,3504.19000000,3511.79000000,1143.22150000
ETHUSDC,1737148500000,2025-01-17 23:15:00,2025-01-17,23,3511.54000000,3515.40000000,3499.78000000,3500.48000000,722.57390000
ETHUSDC,1737149400000,2025-01-17 23:30:00,2025-01-17,23,3500.48000000,3503.11000000,3475.47000000,3481.80000000,895.86690000
ETHUSDC,1737150300000,2025-01-17 23:45:00,2025-01-17,23,3482.78000000,3484.39000000,3468.67000000,3475.47000000,620.18180000
